Название,ИНН,ОГРН,КПП,Адрес,Статус,В реестре,Дата регистрации,Уставной капитал,Основной вид деятельности,Налоги,Источник
"АНО ""КИБЕРСПОРТ""",3900008350,1233900002731,390000835,"236022,Калининградская область,г Калининград,ул К.Маркса, д. 18, этаж 3 помещ. III, офис 463",Действующая,Да,,,,1 млн руб.,rusprofile
"ООО ""СИ ПОРТАЛ""",3900038154,1253900002366,390003815,"236022,Калининградская область,г Калининград,Гостиная ул, д. 2-2б",Действующая,Да,,1 000 000 руб,,,rusprofile
"МКУ ""ЦИКТ""",3904062782,1043900852984,390406278,"236022,Калининградская область,город Калининград,пл. Победы, д.1",Действующая,Да,,,,1 млн руб.,rusprofile
МИАЦ,3906055276,1033902805012,390605527,"236022,Калининградская область,г Калининград,ул Мусоргского, д. 10а",Действующая,Да,,,,1 млн руб.,rusprofile
"ГКУ КО ""ЦЦТ""",3906361562,1173926028704,390636156,"236007,Калининградская область,город Калининград,ул Д.Донского, д.1",Действующая,Да,,,,1 млн руб.,rusprofile
"ООО ""ИННОСЕТИ""",5024182694,1185024002723,502418269,"236016,Калининградская область,г Калининград,ул Фрунзе, зд. 51, помещ. 26",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АЙСИЭЛ ЗАПАД""",3906402988,1213900006935,390640298,"236006,Калининградская область,г Калининград,Театральная ул, д. 35, офис 416",Действующая,Да,,100 000 руб,,1 млн руб.,rusprofile
"ООО ""ВОКСИС ЛАБ""",3906397181,1203900015131,390639718,"236006,Калининградская область,город Калининград,ул. Фрунзе, д. 6в, помещ. 20",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""СИСТЕМНЫЕ ТЕХНОЛОГИИ""",3906083040,1023900985976,390608304,"236029,Калининградская область,г Калининград,ул А.Невского, д. 214, офис8",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""НОРД СИСТЕМС""",7708542719,1047796849550,770854271,"236039,Калининградская область,г Калининград,Ленинский пр-кт, д. 131, этаж/офис 6/607",Действующая,Да,,1 000 000 руб,,1 млн руб.,rusprofile
"ООО ""КОДЭ""",3906900574,1143926052160,390690057,"236017,Калининградская область,г Калининград,пр-кт Победы, зд. 81, этаж 2 помещ.2",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО "" СОДРУЖЕСТВО-ИНФО""",3913013862,1183926008485,391301386,"238340,Калининградская область,город Светлый,ул. Гагарина, д. 65, офис 209",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ДЕБЕКС""",3902011454,1213900002590,390201145,"238010,Калининградская область,Нестеровский р-н, г Нестеров,Комсомольская ул, д.8",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""БФТ-ПРОЕКТ""",7713721953,1117746030368,771372195,"238560,Калининградская область,г Светлогорск,ул Гагарина, зд. 9б, помещ. 19",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""РОБОТ ИКС""",3908037561,1063905090226,390803756,"236022,Калининградская область,г Калининград,Люблинское ш, д. 6, офис 61",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО""АЙГРИНД""",3906216773,1103925008131,390621677,"236016,Калининградская область,город Калининград,Университетская ул., д.2в",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""Х.К.""",3904054929,1033901815782,390405492,"236039,Калининградская область,город Калининград,Ленинский пр-кт, д. 155 а этаж4",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""НЕОЛАНТ КАЛИНИНГРАД""",3906378816,1193926004480,390637881,"236040,Калининградская область,город Калининград,пл. Победы, д. 10, офис 508",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""БИТРИКС""",3907026976,1023901642852,390702697,"236022,Калининградская область,город Калининград,Гостиная ул., д. 3 этаж 6, помещ.3",Действующая,Да,,20 000 руб,,1 млн руб.,rusprofile
"ООО ""АЙТИМУС""",3906404216,1213900008541,390640421,"236016,Калининградская область,г Калининград,Юбилейная ул, д. 10, помещ. III этаж/кабинет 4/412",Действующая,Да,,330 000 руб,,1 млн руб.,rusprofile
"ООО ""ТМЫВ ДЕНЕГ""",3906113376,1033902820830,390611337,"236029,Калининградская область,г Калининград,ул А.Невского, д. 214, офис7",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""М2М ГРУП""",3906198612,1083925022961,390619861,"236006,Калининградская область,город Калининград,Московский пр-кт, д. 40, 1401",Действующая,Да,,18 200 000 руб,,2 млн руб.,rusprofile
"ООО ""РМГ ""ЗАПАДНАЯ ПРЕССА""",3906148636,1063906014743,390614863,"236040,Калининградская область,город Калининград,ул. Рокоссовского, д. 16/18 пом I, офис2",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""УЦ САБИ""",3906368952,1183926013204,390636895,"236039,Калининградская область,г Калининград,Железнодорожная ул, д. 4, оф. ц08",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО  ""БАЛТИК СТАЙЛ""",3905017052,1023900773555,390501705,"236040,Калининградская область,город Калининград,Гаражная ул, д. 2, офис 301",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КЁНИГ ШПИЛЬ ПОРТАЛ""",3906394529,1203900011446,390639452,"236017,Калининградская область,г Калининград,Лесопарковая ул, д. 39, помещ.2",Действующая,Да,,62 500 руб,,1 млн руб.,rusprofile
"ООО ""ИНОК-ПЛЮС""",3904015599,1023900584773,390401559,"236023,Калининградская область,город Калининград,ул Чекистов, д. 111а, кв.7",Действующая,Да,,10 200 руб,,1 млн руб.,rusprofile
"ООО  ""НЕОЛАНТ ТЕНАКС""",3906900937,1153926000425,390690093,"236022,Калининградская область,город Калининград,пл. Победы, д. 10 литера",Действующая,Да,,1 000 000 руб,,1 млн руб.,rusprofile
"ООО  ""ЦЕНТР ЗАЩИТЫ ИНФОРМАЦИИ""",3906952332,1153926002230,390695233,"236006,Калининградская область,город Калининград,Кирпичная ул., д.7",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""СОФТЭКС""",3906370038,1183926019760,390637003,"236040,Калининградская область,город Калининград,Университетская ул., д. 2в, кабинет 201",Действующая,Да,,30 000 000 руб,,1 млн руб.,rusprofile
"ООО ""КРЕОНИТ""",2222836248,1152223007782,222283624,"236029,Калининградская область,г Калининград,Ганзейский пер, д. 72, кв. 80",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""СИСТЕХ""",3906372405,1183926023621,390637240,"236029,Калининградская область,г Калининград,ул А.Невского, д. 214, офис1",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""Е-ТИКЕТС СЕРВИС""",3906218604,1103925014269,390621860,"236022,Калининградская область,город Калининград,ул. Генерал-лейтенанта Озерова, д. 19 к. 25, помещ. 36",Действующая,Да,,13 334 руб,,1 млн руб.,rusprofile
